gene	stat	pval	fdr	sig_class	startVar	endVar
Asf1b	1.0487106916526	0	0	gain	1.65873337958239	4.61405083187466
Birc5	1.21776946617013	0	0	gain	0.389881828440516	4.09363162997334
Cadm1	1.05222178355042	0	0	gain	0.574513016405725	3.84746452630212
Ccnb2	1.19624797622357	0	0	gain	1.04382801919137	4.84854177451733
Cdca3	1.20424213127317	0	0	gain	0.627133860250537	4.55897008489035
Creb3l3	0.791507477257624	0	0	loss	3.10714069731849	0.535832097436334
Dmgdh	1.53735470578164	0	0	loss	5.83689053353836	1.69694863847603
Eno1	0.165272563984855	0	0	gain	0.229594958506807	0.759622373362031
H2afz	0.16154194606447	0	0	gain	0.0554515612713008	0.558305201559974
Hmgb1	0.0604997737103413	0	0	gain	0.063137228253242	0.2535966937051
Hmgb2	0.384715205536993	0	0	gain	0.241113685581289	1.36361698488826
Hmgcs2	1.60984137601944	0	0	loss	6.09080913701601	0.967540791906772
Hprt	0.294027350722212	0	0	gain	0.331315016118033	1.2010280569669
Mad2l1	1.40976599481844	0	0	gain	0.489521957334102	4.79172900052277
Mat2a	0.346248402859588	0	0	gain	0.179027042217887	1.26945554316663
Mthfd2	1.28174959360245	0	0	gain	1.54897326196772	5.42237410021896
Nasp	0.25773362494673	0	0	gain	0.291007361738167	1.1529701475051
Nmt2	0.421132550108959	0	0	gain	0.513922156158944	1.9051359470042
Pfkl	0.311465434137546	0	0	gain	0.254368374180357	1.07350708104029
Sfpq	0.519237499475404	0	0	gain	0.441928984537178	2.04021690967074
Snhg4	1.4100534069702	0	0	gain	1.34995884894779	5.72270093961903
Trim59	1.07650679062472	0	0	gain	1.88971447997229	5.0463660494546
Ybx1	0.177081158669563	0	0	gain	0.203611424215745	0.753544239547842
Cdca8	0.661905960922377	0.001	0.0172413793103448	gain	1.47912522188294	3.39786763508923
Gimd1	2.07280137615021	0.001	0.0172413793103448	loss	9.08113217800333	3.1038016873748
Maged1	0.58565130701854	0.001	0.0172413793103448	gain	0.181499258260338	1.90410447051259
Rpl3-ps1	0.732656723453202	0.001	0.0172413793103448	loss	4.06039736841136	1.8097762065521
Sypl	0.671329228877551	0.001	0.0172413793103448	gain	0.552567154427033	2.73255873489182
Tmem37	0.41033087276247	0.001	0.0172413793103448	loss	1.60392363838972	0.216990501506144
Ccna2	0.912866944056891	0.002	0.0285714285714286	gain	1.14985953237911	3.95568622590367
Insr	0.891754824394845	0.002	0.0285714285714286	loss	4.13754280008011	1.63277681303696
Metap2	0.166315308180006	0.002	0.0285714285714286	gain	0.181348783270001	0.721910217696219
Pnrc2	0.604054795698866	0.002	0.0285714285714286	gain	0.446602245025617	2.52578980404793
Rpa1	1.16231994229218	0.002	0.0285714285714286	gain	0.59261868080298	3.59030470387941
Smc2	0.803973399841508	0.002	0.0285714285714286	gain	1.17899440661916	3.41907920101959
Fubp1	0.31240645659695	0.003	0.0357142857142857	gain	0.22759914395056	1.21792015132519
Mcm3	0.860837334650735	0.003	0.0357142857142857	gain	1.04274845520392	3.72338753978218
Mier3	1.01906865882718	0.003	0.0357142857142857	gain	3.16313212453503	6.3419065954444
Pola2	0.751201887470726	0.003	0.0357142857142857	gain	0.774680720329479	3.38274104605742
Ptcd3	0.348755246975405	0.003	0.0357142857142857	gain	0.459777839168166	1.53809004777613
Serpinf2	0.0788510546362293	0.003	0.0357142857142857	gain	0.19071877031767	0.415466151318456
Vtn	0.133491433957136	0.003	0.0357142857142857	gain	0.173181292566303	0.581832057284916
Clk1	0.312133654735091	0.004	0.0454545454545455	gain	0.552964139526314	1.42552959798252
Trp53	0.261730525639988	0.004	0.0454545454545455	gain	0.21291962461954	1.05657833619123
Hmga2	0.648043195319022	0.005	0.0543478260869565	gain	1.31470491246526	3.07853481489988
Tacc3	0.726682938959637	0.005	0.0543478260869565	gain	1.23054164938492	3.48282221311278
G0s2	0.993133316474479	0.006	0.0612244897959184	loss	4.55302679995465	1.43201953973453
Tpi1	0.0467007849198023	0.006	0.0612244897959184	gain	0.128636900120459	0.273063258678843
Zfp260	1.05204580176728	0.006	0.0612244897959184	gain	1.23751473154736	4.48545806960351
Ect2	0.824326801307691	0.007	0.0648148148148148	gain	2.28620317527223	4.30937076470669
Haus3	0.950136763542057	0.007	0.0648148148148148	gain	3.04993946582792	5.85048406123958
Hsph1	0.915371282691434	0.007	0.0648148148148148	gain	0.952906667801528	3.727210930913
Nop56	0.244313121828663	0.007	0.0648148148148148	gain	0.29635620382352	0.993820035434029
Wrb	0.682583765231932	0.007	0.0648148148148148	gain	0.692428690915192	2.77952712768621
Cenpa	0.470091212057092	0.008	0.0689655172413793	gain	0.631120329601127	2.24113684676365
Nap1l1	0.233425188960349	0.008	0.0689655172413793	gain	0.169218594363119	0.9990013403733
Rfc3	0.728882572871897	0.008	0.0689655172413793	gain	0.707181895576601	3.03047894934667
Spcs3	0.16182707717923	0.008	0.0689655172413793	gain	0.286476119935322	0.852540270984765
Ncapd2	0.855094096760489	0.009	0.0737704918032787	gain	1.2766723142296	3.65497752804975
Rcn3	1.16318149819794	0.009	0.0737704918032787	gain	0.809808015152081	4.24378330808591
Shcbp1	0.849794878869802	0.009	0.0737704918032787	gain	2.63677228782511	5.41000356290817
Lect2	0.859697323514021	0.01	0.078125	gain	1.24316221802185	4.0035251083847
Nab1	0.812338318839422	0.01	0.078125	loss	6.41408829041826	4.45802196154969
Zfp871	1.02792201569709	0.01	0.078125	gain	3.87183004489336	6.53797143268383
Tnfaip8	0.685832205908247	0.011	0.0846153846153846	gain	0.60297198883069	2.85341643878214
Cd63	0.134250974201441	0.012	0.0895522388059702	gain	0.368392445239773	0.846821931734387
Fbxo8	0.942208703949093	0.012	0.0895522388059702	loss	6.59478803960642	3.72995239494914
Aurka	0.862161442257485	0.013	0.0955882352941176	gain	3.31286750850648	4.91384268645667
